Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2005.0,1.10.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.6.xml,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.7.xml,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,14.0,1.0,11.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.8.xml,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.9.xml,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2005.0,10.15.xml,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,33.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,80.0,0.0,2.0,2.0,0.0,0.0
2005.0,10.17.xml,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,47.0,1.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,110.0,0.0,3.0,3.0,0.0,0.0
2005.0,10.18.xml,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,47.0,1.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,110.0,0.0,3.0,3.0,0.0,0.0
2005.0,10.19.xml,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,47.0,1.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,110.0,1.0,3.0,3.0,0.0,0.0
2005.0,10.4.xml,1.0,1.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,28.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,79.0,0.0,2.0,2.0,0.0,0.0
